Source,Element ID,Element Name
knowledge,2.C.1.a,Administration and Management
knowledge,2.C.1.b,Administrative
knowledge,2.C.1.c,Economics and Accounting
knowledge,2.C.1.d,Sales and Marketing
knowledge,2.C.1.e,Customer and Personal Service
knowledge,2.C.1.f,Personnel and Human Resources
knowledge,2.C.2.a,Production and Processing
knowledge,2.C.2.b,Food Production
knowledge,2.C.3.a,Computers and Electronics
knowledge,2.C.3.b,Engineering and Technology
knowledge,2.C.3.c,Design
knowledge,2.C.3.d,Building and Construction
knowledge,2.C.3.e,Mechanical
knowledge,2.C.4.a,Mathematics
knowledge,2.C.4.b,Physics
knowledge,2.C.4.c,Chemistry
knowledge,2.C.4.d,Biology
knowledge,2.C.4.e,Psychology
knowledge,2.C.4.f,Sociology and Anthropology
knowledge,2.C.4.g,Geography
knowledge,2.C.5.a,Medicine and Dentistry
knowledge,2.C.5.b,Therapy and Counseling
knowledge,2.C.6,Education and Training
knowledge,2.C.7.a,English Language
knowledge,2.C.7.b,Foreign Language
knowledge,2.C.7.c,Fine Arts
knowledge,2.C.7.d,History and Archeology
knowledge,2.C.7.e,Philosophy and Theology
knowledge,2.C.8.a,Public Safety and Security
knowledge,2.C.8.b,Law and Government
knowledge,2.C.9.a,Telecommunications
knowledge,2.C.9.b,Communications and Media
knowledge,2.C.10,Transportation
skills,2.A.1.a,Reading Comprehension
skills,2.A.1.b,Active Listening
skills,2.A.1.c,Writing
skills,2.A.1.d,Speaking
skills,2.A.1.e,Mathematics
skills,2.A.1.f,Science
skills,2.A.2.a,Critical Thinking
skills,2.A.2.b,Active Learning
skills,2.A.2.c,Learning Strategies
skills,2.A.2.d,Monitoring
skills,2.B.1.a,Social Perceptiveness
skills,2.B.1.b,Coordination
skills,2.B.1.c,Persuasion
skills,2.B.1.d,Negotiation
skills,2.B.1.e,Instructing
skills,2.B.1.f,Service Orientation
skills,2.B.2.i,Complex Problem Solving
skills,2.B.3.a,Operations Analysis
skills,2.B.3.b,Technology Design
skills,2.B.3.c,Equipment Selection
skills,2.B.3.d,Installation
skills,2.B.3.e,Programming
skills,2.B.3.g,Operations Monitoring
skills,2.B.3.h,Operation and Control
skills,2.B.3.j,Equipment Maintenance
skills,2.B.3.k,Troubleshooting
skills,2.B.3.l,Repairing
skills,2.B.3.m,Quality Control Analysis
skills,2.B.4.e,Judgment and Decision Making
skills,2.B.4.g,Systems Analysis
skills,2.B.4.h,Systems Evaluation
skills,2.B.5.a,Time Management
skills,2.B.5.b,Management of Financial Resources
skills,2.B.5.c,Management of Material Resources
skills,2.B.5.d,Management of Personnel Resources
